client_id,Variation
73496,NA
73615,Test
73648,Test
73649,NA
73690,NA
73910,Control
74169,Control
74564,Test
74844,Test
74972,NA
74976,Test
75033,Test
75071,NA
75381,Control
75413,NA
75490,Test
75642,Control
75865,NA
76222,NA
76424,Control
76429,Test
76481,Test
76574,NA
76635,Test
76775,Test
76776,Control
77071,Control
77276,Test
77292,NA
77391,NA
77513,Test
77651,Test
77933,Test
78215,NA
78370,NA
78720,Test
78728,Control
78779,Test
78908,NA
78917,Control
79127,Control
79229,Control
79452,Test
79571,Control
79669,Test
79679,Control
79819,Control
79897,Test
80006,Test
80126,Test
80127,Control
80241,Control
80275,Test
80479,Test
80559,Control
80801,Test
80915,Control
80920,NA
80969,NA
81102,Control
81119,Test
81303,Test
81442,NA
81601,Control
81720,Test
81816,Control
81963,NA
81976,Control
82206,Test
82376,Control
82560,Test
82566,Control
82676,NA
82712,Control
82723,Control
82772,Test
82869,Control
82901,NA
83002,NA
83158,Control
83363,NA
83447,Control
83507,Test
83585,Test
83614,NA
83683,Control
83795,Test
83828,NA
83999,NA
84108,Control
84464,Test
84480,Control
84596,Test
84624,Control
84658,Test
84730,NA
84971,NA
84976,Test
85097,Control
85286,Control
85515,Control
85633,NA
85793,Control
85798,NA
85834,NA
85917,NA
86035,Test
86499,Control
86616,Control
86699,Control
86780,Test
86877,Test
87162,Control
87218,Control
87300,Control
87424,Test
87449,Test
87790,NA
87915,Test
88378,Control
88709,NA
88723,Control
88759,Control
88880,NA
88986,Test
89039,Test
89052,Control
89108,Control
89116,Control
89257,Test
89604,Test
89645,Control
89652,NA
89693,Test
89812,Test
89959,Test
90324,Test
90337,NA
90360,Test
90383,Test
90539,NA
90596,Control
91110,Test
91131,NA
91190,NA
91254,Test
91443,Test
91462,NA
91633,Test
92017,NA
92066,Test
92119,NA
92137,Test
92665,Test
92808,Control
92864,Test
93127,Control
93137,Test
93195,NA
93370,Test
93480,Test
93571,NA
93610,Test
93751,Test
93870,Test
93915,Test
94012,Control
94234,Test
94510,Control
94552,Test
94662,Test
94767,Test
94778,Control
94793,NA
94914,Test
95035,Test
95199,Test
95453,Test
95790,NA
96190,Test
96548,Control
96617,NA
96688,NA
96787,Test
96845,Control
97147,Test
97170,Control
97244,NA
97322,Control
97424,Test
97590,Test
97723,Control
97966,Control
98088,NA
98248,Test
98337,Test
98860,Control
98968,NA
99149,Control
99208,Test
99811,Control
99985,NA
100118,Test
100250,Test
100469,NA
100503,Control
100888,Control
100940,Test
100980,NA
101143,Control
101220,Test
101246,Control
101345,NA
101573,NA
101818,Control
101864,NA
102859,Control
102884,Test
103515,Control
103622,Test
103627,Test
103669,Test
104190,Test
104328,Control
104557,NA
104643,Test
104781,Control
104800,NA
104884,Control
104972,Test
105007,Control
105017,NA
105026,Control
105357,Control
105360,Control
105616,NA
105623,Control
106102,Test
106137,Test
106157,NA
106457,Control
106501,Test
107052,NA
108335,Control
108419,Test
108438,Control
108892,Test
109175,Control
109413,Control
109465,Control
109662,Test
109859,Control
109932,Control
109938,NA
109988,NA
110028,Test
110198,NA
110212,Test
110288,Test
110772,Test
110890,Control
111012,Control
111162,Test
111279,NA
111304,Control
111417,NA
111477,Control
111711,NA
112128,Control
112222,NA
112549,NA
112766,Test
112797,NA
113022,NA
113597,Test
113703,NA
113852,Test
113903,Test
113951,Test
113964,Test
114285,NA
114459,Control
114541,Control
114542,Test
114566,Control
114780,Control
115021,NA
115163,Test
115355,NA
115570,Test
115597,Control
115793,NA
115834,Control
115839,Test
115973,Control
116248,Test
116345,Control
116384,Test
116505,Control
116672,NA
116682,Control
116693,Control
117032,Test
117276,Test
117320,Control
117457,Test
117520,Test
117566,NA
117621,Control
117759,NA
117883,Control
117916,Test
117979,Control
118358,Control
118415,Control
118446,Test
118539,NA
118576,Test
118723,Control
118964,Control
118966,Test
119006,Test
119488,NA
119599,Test
119634,Test
119833,NA
120089,Test
120256,NA
120309,Control
120351,Test
120660,Test
120699,NA
120830,Test
120872,Control
121029,Test
121238,Test
121354,Test
121536,Test
121672,Test
121710,NA
121913,NA
122093,Test
122493,Control
122526,Test
122790,Test
123015,NA
123141,Control
123311,Test
123552,Control
123764,NA
123794,NA
123853,Test
123924,NA
124118,Control
124572,Control
124614,Test
124624,Control
124646,Test
124916,Control
125022,Control
125117,NA
125124,Test
125139,NA
125273,Control
125305,Control
125679,Control
125734,NA
125750,Test
126090,Control
126171,Control
126259,Test
126285,Control
126288,Test
126309,Control
126524,Test
126758,Test
126759,Control
126787,NA
126853,Test
126893,Control
126903,NA
126956,NA
127202,NA
127219,NA
127331,Test
127396,Test
127477,Control
127825,Test
127921,Test
128028,NA
128147,Control
128230,Test
128722,NA
128801,Control
128919,Test
128983,Control
129249,NA
129474,NA
129549,Control
129659,Control
129722,NA
129997,NA
130031,Control
130269,NA
130426,NA
130452,Test
130563,NA
130952,Test
131064,Control
131170,NA
131669,NA
131696,NA
131734,NA
131784,NA
131973,Test
132547,Control
132719,NA
132957,NA
133081,NA
133096,Test
133101,Control
133332,NA
133340,Test
133389,NA
133394,Test
133408,NA
133471,Control
133487,Control
133522,Control
133536,NA
133565,Control
133631,Control
133742,Test
133779,Test
134164,Test
134207,Control
134282,Test
134286,Control
134582,Control
134657,Control
134829,Control
135199,Control
135254,Test
135734,NA
135828,NA
135842,Control
135917,Test
135969,Test
136138,Control
136237,Control
136873,Test
136923,NA
136978,Test
136986,Control
137016,Test
137061,Test
137064,NA
137412,Test
137555,Test
137586,NA
137781,Test
137816,Test
137933,Test
138002,Test
138093,Control
138177,NA
138214,NA
138242,NA
138395,Control
138607,NA
138686,Control
138741,Test
138790,Test
139079,Control
139132,NA
139684,NA
139808,Test
139872,Test
139979,Test
139996,Test
140006,NA
140020,Test
140116,Control
140488,Control
140489,Control
140683,Test
140690,Control
141079,NA
141195,NA
141389,NA
141417,Test
141539,NA
141591,Control
141602,Control
141643,Test
141876,NA
142185,NA
142246,NA
142351,Test
142518,NA
142579,Control
142667,Control
142695,Test
142725,Control
142741,NA
143218,Control
143250,NA
143267,Test
143271,Test
143610,Control
143653,NA
143688,Control
143691,Control
144169,Control
144244,Control
144678,Control
144773,Control
145013,NA
145067,NA
145106,Test
145221,NA
145275,NA
145491,NA
145810,Test
145840,NA
146072,Test
146205,Control
146242,NA
146317,Control
146324,NA
146344,NA
146390,Test
146488,NA
146579,Test
146603,Control
147033,Control
147077,Control
