Client ID,Client Tenure (Years),Client Tenure (Months),Client Age,Gender,Number of Accounts,Balance,Calls Last 6 Months,Logons Last 6 Months
3232.0,9.0,116.0,52.0,F,2,45617.96,3,6
3232.0,9.0,116.0,52.0,F,2,45617.96,3,6
3232.0,9.0,116.0,52.0,F,2,45617.96,3,6
3232.0,9.0,116.0,52.0,F,2,45617.96,3,6
3572.0,15.0,189.0,54.5,M,2,84673.58,0,3
3572.0,15.0,189.0,54.5,M,2,84673.58,0,3
3572.0,15.0,189.0,54.5,M,2,84673.58,0,3
3572.0,15.0,189.0,54.5,M,2,84673.58,0,3
3572.0,15.0,189.0,54.5,M,2,84673.58,0,3
3647.0,15.0,190.0,63.0,F,2,154244.15,4,7
3647.0,15.0,190.0,63.0,F,2,154244.15,4,7
3647.0,15.0,190.0,63.0,F,2,154244.15,4,7
3647.0,15.0,190.0,63.0,F,2,154244.15,4,7
3647.0,15.0,190.0,63.0,F,2,154244.15,4,7
3647.0,15.0,190.0,63.0,F,2,154244.15,4,7
4369.0,14.0,172.0,70.5,F,2,191263.96,0,3
4369.0,14.0,172.0,70.5,F,2,191263.96,0,3
4369.0,14.0,172.0,70.5,F,2,191263.96,0,3
4369.0,14.0,172.0,70.5,F,2,191263.96,0,3
4369.0,14.0,172.0,70.5,F,2,191263.96,0,3
4484.0,16.0,199.0,48.5,M,2,51499.77,2,5
4484.0,16.0,199.0,48.5,M,2,51499.77,2,5
4484.0,16.0,199.0,48.5,M,2,51499.77,2,5
4484.0,16.0,199.0,48.5,M,2,51499.77,2,5
4484.0,16.0,199.0,48.5,M,2,51499.77,2,5
4484.0,16.0,199.0,48.5,M,2,51499.77,2,5
4484.0,16.0,199.0,48.5,M,2,51499.77,2,5
4603.0,12.0,154.0,38.5,F,2,48726.26,6,9
4603.0,12.0,154.0,38.5,F,2,48726.26,6,9
4603.0,12.0,154.0,38.5,F,2,48726.26,6,9
4603.0,12.0,154.0,38.5,F,2,48726.26,6,9
4603.0,12.0,154.0,38.5,F,2,48726.26,6,9
4603.0,12.0,154.0,38.5,F,2,48726.26,6,9
4870.0,21.0,253.0,26.5,M,3,89408.80,6,9
4870.0,21.0,253.0,26.5,M,3,89408.80,6,9
4870.0,21.0,253.0,26.5,M,3,89408.80,6,9
4870.0,21.0,253.0,26.5,M,3,89408.80,6,9
4870.0,21.0,253.0,26.5,M,3,89408.80,6,9
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
5845.0,23.0,280.0,76.0,F,2,213906.62,2,5
